t: 0	x_0: 1000	x_1: 0	
t: 1.5500000000000012	x_0: 140.20996344297342	x_1: 3099.6303242363765	
t: 1.5600000000000012	x_0: 171.13756380325012	x_1: 3084.3709289600893	
t: 1.5700000000000012	x_0: 201.8974156865874	x_1: 3066.0881059521803	
t: 1.5800000000000012	x_0: 232.45936701242277	x_1: 3044.799776042978	
t: 1.5900000000000012	x_0: 262.79345968301647	x_1: 3020.5268061854995	
t: 1.6000000000000012	x_0: 292.8699589496268	x_1: 2993.292989001533	
t: 1.6100000000000012	x_0: 322.6593825597568	x_1: 2963.125019459859	
t: 1.6200000000000012	x_0: 352.1325296569011	x_1: 2930.052468709467	
t: 1.6300000000000012	x_0: 381.2605094044639	x_1: 2894.1077550934233	
t: 1.6400000000000012	x_0: 410.01476930578997	x_1: 2855.3261123717903	
t: 1.6500000000000012	x_0: 438.36712319254804	x_1: 2813.7455551847606	
t: 1.6600000000000013	x_0: 466.2897788540313	x_1: 2769.40684178985	
t: 1.6700000000000013	x_0: 493.7553652802913	x_1: 2722.353434109678	
t: 1.6800000000000013	x_0: 520.7369594924007	x_1: 2672.6314551294954	
t: 1.6900000000000013	x_0: 547.2081129335444	x_1: 2620.2896436862266	
t: 1.7000000000000013	x_0: 573.1428773950693	x_1: 2565.379306693333	
t: 1.7100000000000013	x_0: 598.5158304520791	x_1: 2507.9542688483366	
t: 1.7200000000000013	x_0: 623.3021003836409	x_1: 2448.0708198722973	
t: 1.7300000000000013	x_0: 647.4773905531758	x_1: 2385.787659332963	
t: 1.7400000000000013	x_0: 671.0180032251344	x_1: 2321.1658391056785	
t: 1.7500000000000013	x_0: 693.9008627946109	x_1: 2254.2687035284534	
t: 1.7600000000000013	x_0: 716.103538407126	x_1: 2185.1618273098525	
t: 1.7700000000000014	x_0: 737.6042659464051	x_1: 2113.9129512505724	
t: 1.7800000000000014	x_0: 758.3819693685971	x_1: 2040.5919158417119	
t: 1.7900000000000014	x_0: 778.4162813620236	x_1: 1965.270592804827	
t: 1.8000000000000014	x_0: 797.6875633122045	x_1: 1888.0228146408742	
t: 1.8100000000000014	x_0: 816.1769245525902	x_1: 1808.924302257104	
t: 1.8200000000000014	x_0: 833.8662408821305	x_1: 1728.0525907428441	
t: 1.8300000000000014	x_0: 850.7381723315267	x_1: 1645.4869533669314	
t: 1.8400000000000014	x_0: 866.7761801607536	x_1: 1561.308323871292	
t: 1.8500000000000014	x_0: 881.9645430711878	x_1: 1475.5992171368412	
t: 1.8600000000000014	x_0: 896.2883726164513	x_1: 1388.4436482994677	
t: 1.8700000000000014	x_0: 909.7336277968639	x_1: 1299.9270503953887	
t: 1.8800000000000014	x_0: 922.2871288231972	x_1: 1210.1361906166023	
t: 1.8900000000000015	x_0: 933.9365700362399	x_1: 1119.1590852585268	
t: 1.9000000000000015	x_0: 944.6705319695075	x_1: 1027.0849134431987	
t: 1.9100000000000015	x_0: 954.4784925432743	x_1: 934.0039297025999	
t: 1.9200000000000015	x_0: 963.3508373789541	x_1: 840.0073755078047	
t: 1.9300000000000015	x_0: 971.2788692237165	x_1: 745.1873898306683	
t: 1.9400000000000015	x_0: 978.2548164761035	x_1: 649.636918825727	
t: 1.9500000000000015	x_0: 984.2718408042875	x_1: 553.4496247208442	
t: 1.9600000000000015	x_0: 989.3240438495019	x_1: 456.7197940059108	
t: 1.9700000000000015	x_0: 993.4064730080747	x_1: 359.5422450095967	
t: 1.9800000000000015	x_0: 996.5151262863967	x_1: 262.0122349547506	
t: 1.9900000000000015	x_0: 998.6469562240638	x_1: 164.2253665835559	
t: 2.0000000000000013	x_0: 999.7998728813496	x_1: 66.27749444397169	
t: 2.010000000000001	x_0: 999.9727458880775	x_1: -31.735369070678132	
t: 2.020000000000001	x_0: 999.1654055518856	x_1: -129.71714783686508	
t: 2.0300000000000007	x_0: 997.3786430247965	x_1: -227.57179617850983	
